cluster,base_sit,outs_when_up,rbi_occurs_pct,n
1,321,0,13.157894736842104,38
2,321,0,24.590163934426226,61
3,321,0,38.88888888888889,36
4,321,0,35.135135135135144,37
5,321,0,32.758620689655174,58
6,321,0,46.666666666666664,75
7,321,0,30.555555555555557,72
1,321,1,15.686274509803924,102
2,321,1,24.561403508771935,114
3,321,1,36.25,80
4,321,1,33.33333333333333,93
5,321,1,27.480916030534353,131
6,321,1,36.7816091954023,174
7,321,1,36.56716417910447,134
1,321,2,11.627906976744184,129
2,321,2,16.77018633540373,162
3,321,2,20.560747663551403,107
4,321,2,16.129032258064527,124
5,321,2,14.11042944785276,163
6,321,2,24.47257383966244,237
7,321,2,13.756613756613751,189
1,32_,0,19.51219512195122,41
2,32_,0,19.565217391304348,46
3,32_,0,32.6530612244898,49
4,32_,0,26.82926829268293,41
5,32_,0,18.965517241379306,58
6,32_,0,44.77611940298508,67
7,32_,0,33.333333333333336,45
1,32_,1,17.70833333333333,96
2,32_,1,21.69811320754717,106
3,32_,1,28.358208955223883,67
4,32_,1,27.380952380952383,84
5,32_,1,28.472222222222214,144
6,32_,1,41.48148148148148,135
7,32_,1,34.89932885906041,149
1,32_,2,7.1942446043165464,139
2,32_,2,14.857142857142858,175
3,32_,2,18.181818181818183,88
4,32_,2,9.375,128
5,32_,2,9.333333333333334,225
6,32_,2,19.026548672566374,226
7,32_,2,7.142857142857145,182
1,3_1,0,3.571428571428572,56
2,3_1,0,23.999999999999996,75
3,3_1,0,25.581395348837212,43
4,3_1,0,22.950819672131146,61
5,3_1,0,27.272727272727277,66
6,3_1,0,36.36363636363636,77
7,3_1,0,37.83783783783784,74
1,3_1,1,16.346153846153847,104
2,3_1,1,20.143884892086326,139
3,3_1,1,25.757575757575758,66
4,3_1,1,26.66666666666667,105
5,3_1,1,25.36231884057971,138
6,3_1,1,37.29729729729729,185
7,3_1,1,33.33333333333333,162
1,3_1,2,7.692307692307694,143
2,3_1,2,10.91954022988506,174
3,3_1,2,12.037037037037035,108
4,3_1,2,9.160305343511451,131
5,3_1,2,8.888888888888891,180
6,3_1,2,18.93203883495145,206
7,3_1,2,13.173652694610782,167
1,3__,0,11.111111111111109,27
2,3__,0,13.636363636363635,22
3,3__,0,34.78260869565217,23
4,3__,0,31.03448275862069,29
5,3__,0,24.390243902439025,41
6,3__,0,36.11111111111111,36
7,3__,0,20.93023255813954,43
1,3__,1,17.322834645669293,127
2,3__,1,19.35483870967742,124
3,3__,1,35.82089552238806,67
4,3__,1,25.24271844660195,103
5,3__,1,25.517241379310345,145
6,3__,1,31.527093596059117,203
7,3__,1,36.41618497109826,173
1,3__,2,7.537688442211055,199
2,3__,2,12.345679012345679,243
3,3__,2,15.328467153284667,137
4,3__,2,14.20118343195266,169
5,3__,2,10.317460317460316,252
6,3__,2,9.677419354838714,279
7,3__,2,12.399999999999997,250
1,_21,0,3.3333333333333304,180
2,_21,0,7.30593607305936,219
3,_21,0,11.428571428571427,140
4,_21,0,6.626506024096387,166
5,_21,0,8.241758241758241,182
6,_21,0,13.438735177865604,253
7,_21,0,4.411764705882353,204
1,_21,1,4.745762711864406,295
2,_21,1,8.226221079691518,389
3,_21,1,14.218009478672988,211
4,_21,1,9.025270758122748,277
5,_21,1,8.244680851063832,376
6,_21,1,10.30042918454935,466
7,_21,1,9.022556390977444,399
1,_21,2,4.522613065326633,398
2,_21,2,9.324009324009328,429
3,_21,2,13.978494623655918,279
4,_21,2,7.758620689655177,348
5,_21,2,6.493506493506493,462
6,_21,2,14.832535885167472,627
7,_21,2,8.712871287128705,505
1,_2_,0,3.0769230769230815,195
2,_2_,0,6.451612903225811,279
3,_2_,0,16.292134831460668,178
4,_2_,0,11.81818181818182,220
5,_2_,0,3.7800687285223353,291
6,_2_,0,12.66846361185984,371
7,_2_,0,5.6886227544910195,334
1,_2_,1,3.5443037974683427,395
2,_2_,1,6.593406593406587,455
3,_2_,1,14.141414141414138,297
4,_2_,1,6.2034739454094305,403
5,_2_,1,7.8947368421052655,456
6,_2_,1,9.833024118738402,539
7,_2_,1,8.695652173913027,483
1,_2_,2,5.443548387096783,496
2,_2_,2,9.602649006622519,604
3,_2_,2,14.159292035398217,339
4,_2_,2,11.300639658848628,469
5,_2_,2,9.431137724550908,668
6,_2_,2,12.564766839378253,772
7,_2_,2,10.02949852507375,678
1,__1,0,0.6932409012131703,577
2,__1,0,2.587322121604145,773
3,__1,0,7.366482504604055,543
4,__1,0,1.2875536480686671,699
5,__1,0,0.9280742459396739,862
6,__1,0,4.430929626411816,1151
7,__1,0,0.9744214372716187,821
1,__1,1,0.6321112515802774,791
2,__1,1,3.603603603603609,999
3,__1,1,7.4923547400611525,654
4,__1,1,2.6634382566585915,826
5,__1,1,0.5149330587023687,971
6,__1,1,3.4769463340891966,1323
7,__1,1,1.0426540284360193,1055
1,__1,2,1.0389610389610389,770
2,__1,2,3.908484270734039,1049
3,__1,2,7.07395498392283,622
4,__1,2,2.5839793281653805,774
5,__1,2,1.3742071881606805,946
6,__1,2,4.128440366972472,1308
7,__1,2,1.779026217228468,1068
1,___,0,0.46267735965452783,3242
2,___,0,1.5284974093264299,3860
3,___,0,4.707728520988618,2549
4,___,0,1.6336789192585621,3183
5,___,0,0.20979020979020818,4290
6,___,0,2.170601675552173,5252
7,___,0,0.7626531083891934,4327
1,___,1,0.2881844380403432,2429
2,___,1,1.7779268701777797,2981
3,___,1,4.874041621029571,1826
4,___,1,1.3906996957844437,2301
5,___,1,0.3301419610432491,3029
6,___,1,1.8281993488604975,3993
7,___,1,0.7488299531981273,3205
1,___,2,0.14742014742014628,2035
2,___,2,2.02190395956192,2374
3,___,2,3.7845705967976837,1374
4,___,2,1.4156285390713421,1766
5,___,2,0.2191060473269019,2282
6,___,2,2.3536895674300347,3144
7,___,2,0.6751389992057152,2518
