cluster,base_sit,outs_when_up,prob_rbi_occurs,n
1,321,0,13.11475409836065,122
2,321,0,23.809523809523807,189
3,321,0,38.095238095238074,147
4,321,0,28.467153284671532,137
5,321,0,28.30188679245283,159
6,321,0,38.42975206611571,242
7,321,0,28.205128205128215,156
1,321,1,14.232209737827716,267
2,321,1,23.48837209302325,430
3,321,1,33.92857142857142,280
4,321,1,33.44827586206897,290
5,321,1,26.93498452012384,323
6,321,1,36.34751773049645,564
7,321,1,31.464174454828658,321
1,321,2,8.741258741258735,286
2,321,2,14.981949458483745,555
3,321,2,23.076923076923073,390
4,321,2,14.578005115089516,391
5,321,2,12.20779220779221,385
6,321,2,18.575851393188852,646
7,321,2,12.376237623762384,404
1,32_,0,12.244897959183673,98
2,32_,0,22.222222222222218,171
3,32_,0,30.769230769230777,130
4,32_,0,31.16883116883117,154
5,32_,0,22.302158273381295,139
6,32_,0,37.980769230769226,208
7,32_,0,36.69724770642202,109
1,32_,1,17.167381974248926,233
2,32_,1,22.826086956521742,368
3,32_,1,37.4468085106383,235
4,32_,1,31.782945736434105,258
5,32_,1,27.884615384615387,312
6,32_,1,38.32199546485261,441
7,32_,1,33.13253012048193,332
1,32_,2,6.551724137931034,290
2,32_,2,11.632653061224499,490
3,32_,2,18.45018450184502,271
4,32_,2,9.969788519637463,331
5,32_,2,10.47835990888382,439
6,32_,2,17.715231788079457,604
7,32_,2,9.289617486338795,366
1,3_1,0,15.48387096774194,155
2,3_1,0,21.568627450980387,255
3,3_1,0,39.0625,192
4,3_1,0,26.704545454545453,176
5,3_1,0,27.411167512690355,197
6,3_1,0,30.069930069930066,286
7,3_1,0,37.71428571428571,175
1,3_1,1,18.705035971223015,278
2,3_1,1,22.465208747514907,503
3,3_1,1,33.33333333333335,333
4,3_1,1,23.14285714285715,350
5,3_1,1,23.529411764705877,391
6,3_1,1,35.82317073170731,656
7,3_1,1,30.676328502415462,414
1,3_1,2,6.045340050377832,397
2,3_1,2,12.743628185907038,667
3,3_1,2,14.806866952789722,466
4,3_1,2,13.568773234200746,538
5,3_1,2,10.506566604127581,533
6,3_1,2,15.431348724179836,823
7,3_1,2,10.515463917525771,485
1,3__,0,8.955223880597012,67
2,3__,0,26.829268292682922,82
3,3__,0,30.263157894736835,76
4,3__,0,35.064935064935064,77
5,3__,0,19.54022988505747,87
6,3__,0,37.39837398373983,123
7,3__,0,24.742268041237114,97
1,3__,1,16.09589041095891,292
2,3__,1,20.37037037037037,432
3,3__,1,32.835820895522396,268
4,3__,1,25.373134328358205,335
5,3__,1,25.936599423631137,347
6,3__,1,34.798534798534796,546
7,3__,1,31.026252983293556,419
1,3__,2,5.417607223476298,443
2,3__,2,11.217510259917917,731
3,3__,2,15.746421267893657,489
4,3__,2,11.844660194174754,515
5,3__,2,9.565217391304355,575
6,3__,2,13.225058004640367,862
7,3__,2,11.834319526627226,507
1,_21,0,2.808988764044943,356
2,_21,0,7.203389830508472,708
3,_21,0,15.185185185185182,540
4,_21,0,8.610567514677088,511
5,_21,0,5.829596412556057,446
6,_21,0,11.562897077509549,787
7,_21,0,6.040268456375837,447
1,_21,1,5.061559507523941,731
2,_21,1,7.968749999999994,1280
3,_21,1,13.284132841328416,813
4,_21,1,9.422850412249725,849
5,_21,1,7.214206437291902,901
6,_21,1,11.294583883751642,1514
7,_21,1,8.333333333333332,924
1,_21,2,4.4133476856835285,929
2,_21,2,7.286922576447622,1537
3,_21,2,14.659197012138186,1071
4,_21,2,8.913649025069628,1077
5,_21,2,7.678410117434507,1107
6,_21,2,13.820704375667026,1874
7,_21,2,9.689213893967098,1094
1,_2_,0,1.8518518518518479,486
2,_2_,0,5.9683313032886725,821
3,_2_,0,14.705882352941178,612
4,_2_,0,8.538350217076697,691
5,_2_,0,4.7554347826087,736
6,_2_,0,9.781576448243118,1053
7,_2_,0,6.413994169096207,686
1,_2_,1,3.7621359223301023,824
2,_2_,1,6.752873563218394,1392
3,_2_,1,12.670157068062815,955
4,_2_,1,7.056638811513466,1077
5,_2_,1,7.5508228460793845,1033
6,_2_,1,10.336239103362393,1606
7,_2_,1,8.59683794466401,1012
1,_2_,2,5.01367365542388,1097
2,_2_,2,10.099241097489788,1713
3,_2_,2,14.74850809889175,1173
4,_2_,2,9.920000000000002,1250
5,_2_,2,10.225669957686879,1418
6,_2_,2,13.45270890725438,2178
7,_2_,2,9.350463954318341,1401
1,__1,0,0.7843137254901982,1275
2,__1,0,2.4273776362912844,2513
3,__1,0,6.922712185870095,2109
4,__1,0,1.9474196689386536,2054
5,__1,0,0.7306380905991203,2053
6,__1,0,3.883219954648521,3528
7,__1,0,1.3333333333333348,1875
1,__1,1,1.3477088948787082,1855
2,__1,1,3.0746705710102464,3415
3,__1,1,7.282693813625688,2554
4,__1,1,2.311677959346358,2509
5,__1,1,0.6117455138662315,2452
6,__1,1,3.7837837837837784,4255
7,__1,1,1.5175718849840254,2504
1,__1,2,0.7399577167019045,1892
2,__1,2,3.391684901531732,3656
3,__1,2,7.051282051282051,2496
4,__1,2,2.32278734481376,2497
5,__1,2,1.3087934560327084,2445
6,__1,2,4.069767441860467,4300
7,__1,2,1.7097415506958213,2515
1,___,0,0.46250875963560073,7135
2,___,0,2.0672478206724696,12045
3,___,0,4.974160206718365,9288
4,___,0,1.4293882218410416,8745
5,___,0,0.3022839229735791,8932
6,___,0,2.3792357606344514,15257
7,___,0,0.8235423300757782,9107
1,___,1,0.32196969696969724,5280
2,___,1,1.9001856503221626,9157
3,___,1,4.72247776755598,6522
4,___,1,1.251103915219305,6794
5,___,1,0.29935638377488405,6681
6,___,1,2.210663198959659,11535
7,___,1,0.7119054831869118,6602
1,___,2,0.33237314424994646,4513
2,___,2,1.986408782017764,7652
3,___,2,4.082027471464464,5169
4,___,2,1.1991350501277696,5087
5,___,2,0.21539064029763097,5107
6,___,2,2.2993539910215715,9133
7,___,2,0.7300636465743237,5342
