cluster,base_sit,outs_when_up,mean_rbis,n
1,321,0,0.156,122
2,321,0,0.323,189
3,321,0,0.707,147
4,321,0,0.387,137
5,321,0,0.34,159
6,321,0,0.537,242
7,321,0,0.333,156
1,321,1,0.184,267
2,321,1,0.372,430
3,321,1,0.575,280
4,321,1,0.493,290
5,321,1,0.313,323
6,321,1,0.505,564
7,321,1,0.411,321
1,321,2,0.136,286
2,321,2,0.323,555
3,321,2,0.59,390
4,321,2,0.307,391
5,321,2,0.216,385
6,321,2,0.402,646
7,321,2,0.23,404
1,32_,0,0.173,98
2,32_,0,0.316,171
3,32_,0,0.5,130
4,32_,0,0.435,154
5,32_,0,0.273,139
6,32_,0,0.529,208
7,32_,0,0.468,109
1,32_,1,0.215,233
2,32_,1,0.323,368
3,32_,1,0.523,235
4,32_,1,0.45,258
5,32_,1,0.333,312
6,32_,1,0.512,441
7,32_,1,0.428,332
1,32_,2,0.107,290
2,32_,2,0.237,490
3,32_,2,0.41,271
4,32_,2,0.19,331
5,32_,2,0.178,439
6,32_,2,0.361,604
7,32_,2,0.175,366
1,3_1,0,0.168,155
2,3_1,0,0.286,255
3,3_1,0,0.495,192
4,3_1,0,0.33,176
5,3_1,0,0.284,197
6,3_1,0,0.339,286
7,3_1,0,0.389,175
1,3_1,1,0.216,278
2,3_1,1,0.276,503
3,3_1,1,0.42,333
4,3_1,1,0.266,350
5,3_1,1,0.251,391
6,3_1,1,0.415,656
7,3_1,1,0.319,414
1,3_1,2,0.078,397
2,3_1,2,0.198,667
3,3_1,2,0.268,466
4,3_1,2,0.169,538
5,3_1,2,0.116,533
6,3_1,2,0.208,823
7,3_1,2,0.132,485
1,3__,0,0.09,67
2,3__,0,0.305,82
3,3__,0,0.329,76
4,3__,0,0.377,77
5,3__,0,0.207,87
6,3__,0,0.39,123
7,3__,0,0.268,97
1,3__,1,0.164,292
2,3__,1,0.229,432
3,3__,1,0.366,268
4,3__,1,0.269,335
5,3__,1,0.262,347
6,3__,1,0.374,546
7,3__,1,0.32,419
1,3__,2,0.056,443
2,3__,2,0.134,731
3,3__,2,0.196,489
4,3__,2,0.132,515
5,3__,2,0.099,575
6,3__,2,0.154,862
7,3__,2,0.128,507
1,_21,0,0.031,356
2,_21,0,0.113,708
3,_21,0,0.283,540
4,_21,0,0.117,511
5,_21,0,0.07,446
6,_21,0,0.179,787
7,_21,0,0.074,447
1,_21,1,0.067,731
2,_21,1,0.13,1280
3,_21,1,0.25,813
4,_21,1,0.13,849
5,_21,1,0.083,901
6,_21,1,0.174,1514
7,_21,1,0.113,924
1,_21,2,0.055,929
2,_21,2,0.115,1537
3,_21,2,0.254,1071
4,_21,2,0.132,1077
5,_21,2,0.091,1107
6,_21,2,0.208,1874
7,_21,2,0.13,1094
1,_2_,0,0.023,486
2,_2_,0,0.073,821
3,_2_,0,0.193,612
4,_2_,0,0.097,691
5,_2_,0,0.05,736
6,_2_,0,0.118,1053
7,_2_,0,0.069,686
1,_2_,1,0.04,824
2,_2_,1,0.085,1392
3,_2_,1,0.18,955
4,_2_,1,0.083,1077
5,_2_,1,0.079,1033
6,_2_,1,0.121,1606
7,_2_,1,0.099,1012
1,_2_,2,0.055,1097
2,_2_,2,0.126,1713
3,_2_,2,0.195,1173
4,_2_,2,0.114,1250
5,_2_,2,0.108,1418
6,_2_,2,0.163,2178
7,_2_,2,0.1,1401
1,__1,0,0.013,1275
2,__1,0,0.039,2513
3,__1,0,0.122,2109
4,__1,0,0.031,2054
5,__1,0,0.011,2053
6,__1,0,0.063,3528
7,__1,0,0.019,1875
1,__1,1,0.02,1855
2,__1,1,0.052,3415
3,__1,1,0.13,2554
4,__1,1,0.037,2509
5,__1,1,0.009,2452
6,__1,1,0.063,4255
7,__1,1,0.022,2504
1,__1,2,0.01,1892
2,__1,2,0.054,3656
3,__1,2,0.118,2496
4,__1,2,0.037,2497
5,__1,2,0.017,2445
6,__1,2,0.06,4300
7,__1,2,0.022,2515
1,___,0,0.005,7135
2,___,0,0.021,12045
3,___,0,0.05,9288
4,___,0,0.014,8745
5,___,0,0.003,8932
6,___,0,0.024,15257
7,___,0,0.008,9107
1,___,1,0.003,5280
2,___,1,0.019,9157
3,___,1,0.047,6522
4,___,1,0.013,6794
5,___,1,0.003,6681
6,___,1,0.022,11535
7,___,1,0.007,6602
1,___,2,0.003,4513
2,___,2,0.02,7652
3,___,2,0.041,5169
4,___,2,0.012,5087
5,___,2,0.002,5107
6,___,2,0.023,9133
7,___,2,0.007,5342
